"","name","term","estimate","std.error","statistic","p.value"
"1","Chao1","(Intercept)",2637.95967741935,151.991873995185,17.3559257352333,2.83081846597256e-34
"2","Chao1","LegendDay 2 of washout (T2W)",17.1503548387097,214.948969574493,0.0797880300271273,0.936541002794745
"3","Chao1","LegendDay 4 of washout (T4W)",158.96070189099,218.623577114045,0.727097708258923,0.468606173883213
"4","Chao1","LegendPost-washout (T14W)",224.324096774194,214.948969574493,1.04361559498638,0.298796591777141
"5","Shannon","(Intercept)",4.32170967741935,0.069288768514361,62.3724417403034,3.44910117600912e-92
"6","Shannon","LegendDay 2 of washout (T2W)",0.00916129032258087,0.0979891161531393,0.0934929376060851,0.925670518974105
"7","Shannon","LegendDay 4 of washout (T4W)",-0.0232269187986652,0.0996642651232562,-0.233051623567787,0.81612509691431
"8","Shannon","LegendPost-washout (T14W)",-0.0179354838709677,0.0979891161531393,-0.183035469397823,0.855084306736603
"9","Simpson","(Intercept)",0.963193548387097,0.00710742985718862,135.519247849193,2.32950021263289e-131
"10","Simpson","LegendDay 2 of washout (T2W)",0.0029677419354839,0.0100514236976516,0.29525587864506,0.768317301926664
"11","Simpson","LegendDay 4 of washout (T4W)",-0.00929699666295884,0.0102232553532103,-0.909396893822022,0.36499439898517
"12","Simpson","LegendPost-washout (T14W)",0.000645161290322583,0.0100514236976516,0.0641860605750126,0.948930684925687
